package,old,new,delta
imputeTS,3.1,3.2,*
brio,NA,1.1.0,*
callr,NA,3.5.1,*
cli,NA,2.2.0,*
colorspace,NA,2.0-0,*
crayon,NA,1.3.4.9000,*
diffobj,NA,0.3.3,*
digest,NA,0.6.27,*
fansi,NA,0.4.2,*
forecast,NA,8.13,*
ggplot2,NA,3.3.3,*
ggtext,NA,0.1.1,*
gridtext,NA,0.1.4,*
isoband,NA,0.2.3,*
jsonlite,NA,1.7.2,*
labeling,NA,0.4.2,*
lmtest,NA,0.9-38,*
magrittr,NA,2.0.1,*
pillar,NA,1.4.7,*
pkgbuild,NA,1.2.0,*
processx,NA,3.4.5,*
ps,NA,1.5.0,*
quantmod,NA,0.4.18,*
R6,NA,2.5.0,*
Rcpp,NA,1.0.6,*
RcppArmadillo,NA,0.10.1.2.2,*
rlang,NA,0.4.10,*
rprojroot,NA,2.0.2,*
rstudioapi,NA,0.13,*
stringi,NA,1.5.3,*
testthat,NA,3.0.1,*
tibble,NA,3.0.5,*
tseries,NA,0.10-48,*
vctrs,NA,0.3.6,*
waldo,NA,0.2.3,*
withr,NA,2.3.0,*
xfun,NA,0.20,*
xts,NA,0.12.1,*
